"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"XP_020616513.1"," ","LOC110054524",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001441.1",0.97441,"uncharacterized transmembrane protein DDB_G0289901-like, transcript variant X2",41.18,2,4095,2295,1462,55,9,2
"XP_020616590.1"," ","LOC110054585",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001441.1",0.98136,"thioredoxin domain-containing protein 2-like",40.97,1,3607,1503,1503,NA,NA,3
"XP_020614880.1"," ","LOC110053032",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001367.1",1.043138,"hemicentin-2-like",36.17,1,4413,810,810,NA,NA,5
"XP_020613500.1"," ","LOC110051767",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001328.1",1.089066,"protein PRY1-like",40.26,1,3050,1329,2100,98,673,4
"XP_020609431.1"," ","LOC110048014",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001147.1",1.100288,"uncharacterized LOC110048014",39.99,1,14595,4704,5494,398,392,11
"XP_020620928.1"," ","LOC110058617",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001662.1",1.153663,"uncharacterized LOC110058617",39.84,1,3474,1284,3068,NA,1784,2
"XP_020608052.1"," ","LOC110046706",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001084.1",1.212143,"uncharacterized LOC110046706, transcript variant X3",40.03,3,5366,1494,2314,67,663,3
"XP_020620773.1"," ","LOC110058463",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001651.1",1.217035,"CD151 antigen-like",36.76,1,11941,384,2068,NA,842,6
"XP_020620125.1"," ","LOC110057862",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001642.1",1.284218,"low density lipoprotein receptor adapter protein 1-B-like",39.84,1,25013,990,3879,2433,456,9
"XP_020621497.1"," ","LOC110059151",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001697.1",1.358718,"uncharacterized LOC110059151, transcript variant X1",39.12,2,6488,1124,2512,418,552,7
"XP_020616158.1"," ","LOC110054164",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001432.1",1.530369,"uncharacterized LOC110054164",39.63,1,4618,1029,2930,217,1467,2
"XP_020603568.1"," ","LOC110042527",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000842.1",1.559511,"uncharacterized LOC110042527",43.42,1,1346,420,827,44,363,2
"XP_020611785.1"," ","LOC110050229",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001289.1",1.68459,"retinol dehydrogenase 8-like, transcript variant X1",40.68,3,12281,882,1559,490,187,4
"XP_020607082.1"," ","LOC110045793",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001014.1",1.941161,"C-type lectin lectoxin-Thr1-like",40.04,1,969,594,642,48,NA,3
"XP_020628224.1"," ","LOC110065430",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000299.1",2.164497,"perlucin-like protein",41.23,1,1928,687,1796,NA,1109,2
"XP_020613905.1"," ","LOC110052117",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000012.1",2.200266,"serine protease hepsin-like",38.67,1,24257,1503,3529,204,1822,9
"XP_020624745.1"," ","LOC110062213",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001883.1",2.277521,"BTB/POZ domain-containing protein KCTD6-like, transcript variant X2",39.99,3,19577,599,1647,777,271,2
"XP_020632085.1"," ","LOC110069008",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000457.1",2.431171,"betaine--homocysteine S-methyltransferase 1-like",40.6,1,8713,1107,2532,736,689,9
"XP_020631458.1"," ","LOC110068422",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000432.1",2.49141,"hemicentin-1-like",40.17,1,2731,636,833,NA,197,4
"XP_020606105.1"," ","LOC110044869",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000956.1",2.573553,"dynein heavy chain 1, axonemal-like",39.69,1,8527,2277,2815,NA,538,17
"XP_020620606.1"," ","LOC110058314",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001651.1",2.727641,"leucine-rich repeat and IQ domain-containing protein 1-like, transcript variant X1",39.07,4,16504,4384,4982,356,242,34
"XP_020626911.1"," ","LOC110064236",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000242.1",3.354032,"uncharacterized LOC110064236",42.53,1,5337,2715,5203,362,1763,2
