"ProteinID","GeneID","Query.Length","Description","SequenceID","Length","GeneSymbol","pident","UniprotID"
"FUN_000082-T1","FUN_000082","Length: 557","Mitochondrial potassium channel ATP-binding subunit, partial [Acropora cervicornis]","KAK2568414.1",590,"KCNAB1",64.079,"Q56A55"
"FUN_000085-T1","FUN_000085","Length: 376","glutamic acid-rich protein-like isoform X1 [Acropora muricata]","XP_067055462.1",467,"MLPL1",33.333,"P75186"
"FUN_000086-T1","FUN_000086","Length: 175","RNA-binding protein 3 [Acropora cervicornis]","KAK2568250.1",175,"KRTAP3-3",47.727,"Q925G0"
"FUN_000087-T1","FUN_000087","Length: 154","29 kDa ribonucleoprotein [Acropora cervicornis]","KAK2568253.1",154,"HNRNPA1P29",51.765,"Q43349"
"FUN_000088-T1","FUN_000088","Length: 361","RNA-binding motif protein [Acropora cervicornis]","KAK2568252.1",360,"RBM3",35.836,"Q7ZWA3"
"FUN_000094-T1","FUN_000094","Length: 520","CUB domain-containing protein-like [Acropora muricata]","XP_067052452.1",501,"MLPL1",31.839,"Q60997"
"FUN_000097-T1","FUN_000097","Length: 314","CUB domain-containing protein [Acropora cervicornis]","KAK2568230.1",611,"VWC2L",94.774,"B3EX01"
"FUN_000099-T1","FUN_000099","Length: 449","Threonine-rich protein [Acropora cervicornis]","KAK2568228.1",319,"GPRASP1",94.425,"B3EWZ7"
"FUN_000102-T1","FUN_000102","Length: 454","FAS-associated factor 2-like isoform X1 [Acropora muricata]","XP_067053625.1",464,"RFX1",41.886,"Q6GQ69"
"FUN_000103-T1","FUN_000103","Length: 252","transcriptional activator protein Pur-beta-like [Stylophora pistillata]","XP_022799207.1",275,"PRKRA",42.672,"P42669"
"FUN_000107-T1","FUN_000107","Length: 538","actin [Acropora cervicornis]","KAK2568173.1",2753,"ABITRAM",30.108,"Q8CG64"
"FUN_000111-T1","FUN_000111","Length: 1565","Synaptojanin-1 [Acropora cervicornis]","KAK2568400.1",1290,"SYNJ1",54.73,"O43426"
"FUN_000114-T1","FUN_000114","Length: 335","Pre-mRNA-splicing factor RBM22, partial [Acropora cervicornis]","KAK2568399.1",742,"LGI1",59.364,"Q08BI9"
"FUN_000115-T1","FUN_000115","Length: 506","Calcium uptake protein 1 [Acropora cervicornis]","KAK2568398.1",457,"MICU1",48.59,"B1H2N3"
"FUN_000116-T1","FUN_000116","Length: 463","Pre-mRNA-splicing factor RBM22, partial [Acropora cervicornis]","KAK2568399.1",742,"LGI1",62.745,"Q4R4J1"
"FUN_000117-T1","FUN_000117","Length: 412","S-adenosylmethionine synthase-like [Orbicella faveolata]","XP_020613435.1",387,"SRML2",79.003,"Q3THS6"
"FUN_000118-T1","FUN_000118","Length: 189","MOB kinase activator 3A [Acropora cervicornis]","KAK2568329.1",909,"MOB3A",87.766,"Q7L9L4"
"FUN_000120-T1","FUN_000120","Length: 635","Heterogeneous nuclear ribonucleoprotein F [Acropora cervicornis]","KAK2568365.1",770,"HNRNPF",50,"Q5E9J1"
"FUN_000123-T1","FUN_000123","Length: 395","Caspase-7 [Acropora cervicornis]","KAK2568366.1",908,"CASP7",46.964,"F1NV61"
"FUN_000132-T1","FUN_000132","Length: 1955","hypothetical protein P5673_007535 [Acropora cervicornis]","KAK2568483.1",1919,NA,31.944,"Q5VV43"
"FUN_000133-T1","FUN_000133","Length: 196","Protein Hikeshi [Acropora cervicornis]","KAK2568481.1",301,"HIKESHI",62.245,"A4IGP0"
"FUN_000141-T1","FUN_000141","Length: 423","hypothetical protein P5673_007312 [Acropora cervicornis]","KAK2568302.1",385,NA,57.5,"Q9Y0H4"
"FUN_000143-T1","FUN_000143","Length: 1003","Myosin-VIIa [Acropora cervicornis]","KAK2564878.1",2169,"MYO7A",46.834,"P97479"
"FUN_000146-T1","FUN_000146","Length: 450","hypothetical protein P5673_007308 [Acropora cervicornis]","KAK2568299.1",444,NA,26.69,"P76482"
"FUN_000149-T1","FUN_000149","Length: 1038","RUN and FYVE domain-containing protein 2 [Acropora cervicornis]","KAK2568300.1",585,"RUFY2",45.017,"Q8WXA3"
"FUN_000150-T1","FUN_000150","Length: 409","Phosphatidylinositol 3 [Acropora cervicornis]","KAK2568172.1",377,"A12M3",43.62,"O54857"
"FUN_000152-T1","FUN_000152","Length: 181","group XIIA secretory phospholipase A2-like isoform X2 [Montipora capricornis]","XP_068724386.1",164,"PLA2G12A",37.405,"Q9EPR2"
"FUN_000157-T1","FUN_000157","Length: 126","hypothetical protein P5673_011037 [Acropora cervicornis]","KAK2565120.1",325,NA,27.723,"Q8AY50"
"FUN_000160-T1","FUN_000160","Length: 904","NF-kB [Acropora cervicornis]","UBR69922.1",904,"REL",41.051,"Q04861"
"FUN_000162-T1","FUN_000162","Length: 1199","Rap guanine nucleotide exchange factor 2 [Acropora cervicornis]","KAK2568320.1",1173,"RAPGEF2",46.755,"F1M386"
"FUN_000170-T1","FUN_000170","Length: 796","GDH/6PGL endoplasmic bifunctional protein [Acropora cervicornis]","KAK2568318.1",838,"H6PD",42.231,"O95479"
"FUN_000175-T1","FUN_000175","Length: 838","GDH/6PGL endoplasmic bifunctional protein [Acropora cervicornis]","KAK2568318.1",838,"H6PD",42.018,"O95479"
"FUN_000177-T1","FUN_000177","Length: 540","Beta-hexosaminidase subunit beta [Acropora cervicornis]","KAK2568319.1",540,"HEXB",50.688,"P20060"
"FUN_000179-T1","FUN_000179","Length: 582","Leucine-rich repeat protein soc-2-like protein [Acropora cervicornis]","KAK2568260.1",500,"PRELP",68.782,"A7SFP1"
"FUN_000181-T1","FUN_000181","Length: 286","hypothetical protein P5673_007264 [Acropora cervicornis]","KAK2568264.1",286,NA,27.027,"A4WJG1"
"FUN_000184-T1","FUN_000184","Length: 427","26S proteasome regulatory subunit 6A [Acropora cervicornis]","KAK2568262.1",492,"TRAPPC6A",84.36,"O88685"
"FUN_000186-T1","FUN_000186","Length: 152","Polyamine oxidase 1 [Acropora cervicornis]","KAK2568268.1",975,"ACOX1",35,"Q75EB9"
"FUN_000187-T1","FUN_000187","Length: 231","Polyamine oxidase 1 [Acropora cervicornis]","KAK2568268.1",975,"ACOX1",35.751,"O64411"
"FUN_000188-T1","FUN_000188","Length: 305","Polyamine oxidase 1 [Acropora cervicornis]","KAK2568268.1",975,"ACOX1",31.429,"O64411"
"FUN_000189-T1","FUN_000189","Length: 166","Polyamine oxidase 1 [Acropora cervicornis]","KAK2568268.1",975,"ACOX1",35.537,"O64411"
"FUN_000192-T1","FUN_000192","Length: 561","protein DD3-3-like isoform X2 [Acropora millepora]","XP_044174874.1",672,"ATP6V1A2",32.624,"Q58A42"
"FUN_000195-T1","FUN_000195","Length: 689","hypothetical protein P5673_007452 [Acropora cervicornis]","KAK2568420.1",493,NA,30.479,"Q2TBA3"
"FUN_000201-T1","FUN_000201","Length: 779","Oxysterol-binding protein-related protein 11 [Acropora cervicornis]","KAK2568459.1",2719,"MED20",45.718,"Q9BXB4"
"FUN_000202-T1","FUN_000202","Length: 2555","Oxysterol-binding protein-related protein 11 [Acropora cervicornis]","KAK2568459.1",2719,"MED20",41.254,"D3YXG0"
"FUN_000203-T1","FUN_000203","Length: 2459","Oxysterol-binding protein-related protein 11 [Acropora cervicornis]","KAK2568459.1",2719,"MED20",41.964,"D3YXG0"
"FUN_000209-T1","FUN_000209","Length:455","Beta-hexosaminidase subunit beta [Acropora cervicornis]","KAK2568425.1",441,"HEXB",48.551,"Q0V8R6"
"FUN_000210-T1","FUN_000210","Length:417","PREDICTED: heterogeneous nuclear ribonucleoprotein 27C-like isoform X1 [Acropora digitifera]","XP_015767123.1",188,"HNRNPA0",47.644,"G5EFS2"
"FUN_000211-T1","FUN_000211","Length:524","Metal cation symporter ZIP14 [Acropora cervicornis]","KAK2568428.1",410,"SLC39A14",38.557,"A0A0G2KQY6"
"FUN_000214-T1","FUN_000214","Length:2018","Nuclear pore membrane glycoprotein 210 [Acropora cervicornis]","KAK2568430.1",894,"RNU6-210P",34.47,"Q8TEM1"
"FUN_000219-T1","FUN_000219","Length:373","Protein XRP2 [Acropora cervicornis]","KAK2568491.1",340,"GPRASP1",49.211,"F1QC45"
"FUN_000221-T1","FUN_000221","Length:538","putative GTP-binding protein 6, partial [Acropora cervicornis]","KAK2568333.1",504,"GTPBP6",43.836,"Q6DCC6"
"FUN_000222-T1","FUN_000222","Length:384","V-type proton ATPase subunit C-like [Acropora millepora]","XP_029186910.1",384,"EIF3CL",63.351,"Q9U5N1"
"FUN_000227-T1","FUN_000227","Length:500","hypothetical protein P5673_009447 [Acropora cervicornis]","KAK2566769.1",863,NA,26.087,"Q86Y13"
"FUN_000231-T1","FUN_000231","Length:412","26S protease regulatory subunit 6B isoform X1 [Lates japonicus]","GLD53078.1",367,"RFX1",87.081,"P43686"
"FUN_000233-T1","FUN_000233","Length:494","hypothetical protein P5673_009383 [Acropora cervicornis]","KAK2566711.1",452,NA,42.043,"Q5F2N2"
"FUN_000235-T1","FUN_000235","Length:446","Arsenite methyltransferase [Acropora cervicornis]","KAK2567667.1",717,"METTL3",38.4,"A8G8B8"
"FUN_000236-T1","FUN_000236","Length:120","Eukaryotic translation initiation factor 3 subunit F [Acropora cervicornis]","KAK2566704.1",393,"EIF3FP3",60.241,"A5A6I3"
"FUN_000238-T1","FUN_000238","Length:284","Eukaryotic translation initiation factor 3 subunit F [Acropora cervicornis]","KAK2566704.1",393,"EIF3FP3",52.788,"O00303"
"FUN_000239-T1","FUN_000239","Length:633","ZP domain-containing protein [Acropora cervicornis]","KAK2566703.1",526,"VWC2L",37.971,"G8HTB6"
"FUN_000241-T1","FUN_000241","Length:1018","Fibronectin type III domain-containing protein [Acropora cervicornis]","KAK2566709.1",408,"FNDC1",44.592,"B8VIW9"
"FUN_000242-T1","FUN_000242","Length:1233","ZP domain-containing protein [Acropora cervicornis]","KAK2566500.1",1136,"VWC2L",33.141,"G8HTB6"
"FUN_000243-T1","FUN_000243","Length:311","ZP domain-containing protein-like [Acropora muricata]","XP_067045168.1",381,"MLPL1",33.725,"G8HTB6"
"FUN_000244-T1","FUN_000244","Length:442","Succinate--CoA ligase [ADP-forming] subunit beta [Acropora cervicornis]","KAK2566505.1",433,"SUCLA2",68.528,"Q9YI37"
"FUN_000246-T1","FUN_000246","Length:527","Chordin-like protein 1 [Acropora cervicornis]","KAK2566501.1",487,"MAPK1IP1L",26.087,"Q9BU40"
"FUN_000249-T1","FUN_000249","Length:989","26S proteasome non-ATPase regulatory subunit 1 [Pocillopora verrucosa]","XP_066024622.1",1002,"PSMD1",68.563,"Q3TXS7"
"FUN_000256-T1","FUN_000256","Length:463","uncharacterized protein [Acropora muricata]","XP_067053101.1",463,"GPRASP1",26.728,"Q8GW72"
"FUN_000257-T1","FUN_000257","Length:546","PREDICTED: propionyl-CoA carboxylase beta chain, mitochondrial-like [Acropora digitifera]","XP_015761141.1",546,"PCCB",77.255,"P79384"
"FUN_000261-T1","FUN_000261","Length:274","Phospholipid scramblase 3 [Acropora cervicornis]","KAK2566642.1",308,"PLSCR3",25.862,"Q9JIZ9"
"FUN_000267-T1","FUN_000267","Length:153","hypothetical protein P5673_009150 [Acropora cervicornis]","KAK2566529.1",659,NA,28.289,"O75223"
"FUN_000274-T1","FUN_000274","Length:143","hypothetical protein P5673_009148, partial [Acropora cervicornis]","KAK2566528.1",122,NA,30.952,"Q7XUU0"
"FUN_000281-T1","FUN_000281","Length:178","hypothetical protein P5673_009186 [Acropora cervicornis]","KAK2566558.1",110,NA,34.615,"Q9ERN0"
"FUN_000287-T1","FUN_000287","Length: 181","prenylated Rab acceptor protein 1-like [Acropora muricata]","XP_067045525.1",180,"RABAC1",44.586,"Q9Z0S9"
"FUN_000305-T1","FUN_000305","Length: 512","coatomer subunit delta-like [Acropora millepora]","XP_029183862.1",511,"DLK1",66.219,"P53619"
"FUN_000309-T1","FUN_000309","Length: 694","Roundabout-like protein 2, partial [Acropora cervicornis]","KAK2566787.1",512,"LGI1",23.822,"P13590"
"FUN_000312-T1","FUN_000312","Length: 889","Roundabout-like protein 1 [Acropora cervicornis]","KAK2566677.1",735,"MAPK1IP1L",34.139,"G8HTB6"
"FUN_000313-T1","FUN_000313","Length: 783","Neural cell adhesion molecule 1 [Acropora cervicornis]","KAK2566682.1",739,"NCAM1",26.823,"P13595"
"FUN_000314-T1","FUN_000314","Length: 113","Neural cell adhesion molecule 1 [Acropora cervicornis]","KAK2566680.1",88,"NCAM1",28.049,"P13590"
"FUN_000318-T1","FUN_000318","Length: 251","putative oxidoreductase YvaG [Acropora cervicornis]","KAK2566737.1",352,"FOXRED1",29.032,"O32229"
"FUN_000319-T1","FUN_000319","Length: 106","putative oxidoreductase YvaG [Acropora cervicornis]","KAK2566737.1",352,"FOXRED1",37.097,"P46527"
"FUN_000321-T1","FUN_000321","Length:145","Prefoldin subunit 2 [Acropora cervicornis]","KAK2566735.1",93,"EIF2S2P2",54.745,"Q9UHV9"
"FUN_000328-T1","FUN_000328","Length:644","Signal recognition particle receptor subunit alpha [Acropora cervicornis]","KAK2566608.1",573,"RN7SL1",58.716,"Q9DBG7"
"FUN_000331-T1","FUN_000331","Length:385","PREDICTED: upstream stimulatory factor 1-like isoform X2 [Acropora digitifera]","XP_015764555.1",378,"EEF1A1L14",40.253,"Q63665"
"FUN_000334-T1","FUN_000334","Length:897","Hypoxia up-regulated protein 1 [Acropora cervicornis]","KAK2566848.1",934,"HYOU1",46.367,"Q63617"
"FUN_000334-T2","FUN_000334","Length:1044","Hypoxia up-regulated protein 1 [Acropora cervicornis]","KAK2566848.1",934,"HYOU1",47.374,"Q63617"
"FUN_000340-T1","FUN_000340","Length:158","Nuclear cap-binding protein subunit 2 [Acropora cervicornis]","KAK2566849.1",158,"NCBP2",78.723,"B1WC40"
"FUN_000342-T1","FUN_000342","Length:892","Histone deacetylase complex subunit SAP130 [Acropora cervicornis]","KAK2566853.1",892,"HDAC1",37.647,"Q9H0E3"
"FUN_000343-T1","FUN_000343","Length:1436","Multidrug resistance-associated protein 1 [Acropora cervicornis]","KAK2566619.1",1303,"ABCC1",53.067,"Q5F364"
"FUN_000344-T1","FUN_000344","Length:741","Sodium/potassium-transporting ATPase subunit alpha-1 [Acropora cervicornis]","KAK2566614.1",988,"ATP1A1",72.438,"P18907"
"FUN_000345-T1","FUN_000345","Length:266","Sodium/potassium-transporting ATPase subunit alpha-1 [Acropora cervicornis]","KAK2566614.1",988,"ATP1A1",76.448,"Q08DA1"
"FUN_000346-T1","FUN_000346","Length:1053","Sodium/potassium-transporting ATPase subunit alpha [Acropora cervicornis]","KAK2566613.1",1000,"ATP1A1",74.734,"P13607"
"FUN_000347-T1","FUN_000347","Length:478","tektin-1-like [Acropora muricata]","XP_067055491.1",478,"TEKTL1",42.746,"Q9TTW3"
"FUN_000349-T1","FUN_000349","Length:1590","Multidrug resistance-associated protein 1 [Acropora cervicornis]","KAK2566616.1",1439,"ABCC1",50.71,"Q5F364"
"FUN_000350-T1","FUN_000350","Length:1313","multidrug resistance-associated protein 1-like isoform X1 [Acropora muricata]","XP_067029435.1",1349,"SLC11A1",51.439,"Q5F364"
"FUN_000352-T1","FUN_000352","Length:295","GA-binding protein alpha chain [Acropora cervicornis]","KAK2566745.1",424,"MAP1LC3A",26.606,"D1ZJC1"
"FUN_000371-T1","FUN_000371","Length:233","hypothetical protein P5673_009310 [Acropora cervicornis]","KAK2566650.1",146,NA,48.718,"Q223D2"
"FUN_000375-T1","FUN_000375","Length:157","Mediator of RNA polymerase II transcription subunit 15 [Acropora cervicornis]","KAK2574604.1",709,"POLR2A",48.052,"Q7ZVN7"
"FUN_000380-T1","FUN_000380","Length:176","lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog [Acropora millepora]","XP_044173782.1",176,"TNFAIP7",45.946,"Q6GZQ0"
"FUN_000410-T1","FUN_000410","Length: 780","Huntingtin-interacting protein 1 [Acropora cervicornis]","KAK2573968.1",801,"HIP1",34.24,"O00291"
"FUN_000414-T1","FUN_000414","Length:3974","Plectin [Acropora cervicornis]","KAK2574442.1",7007,"PLEC",34.229,"Q9UPN3"
"FUN_000415-T1","FUN_000415","Length: 9302","Dystonin [Acropora cervicornis]","KAK2574441.1",3687,"DST",25.968,"Q9UPN3"
"FUN_000418-T1","FUN_000418","Length: 672","Solute carrier family 13 member 3 [Acropora cervicornis]","KAK2574168.1",772,"SLC13A3",43.543,"Q8WWT9"
"FUN_000422-T1","FUN_000422","Length: 347","CD2 antigen cytoplasmic tail-binding protein 2-like [Acropora millepora]","XP_029184612.2",347,"CD2BP2",40.323,"Q9CWK3"
"FUN_000434-T1","FUN_000434","Length: 336","uncharacterized protein LOC114952760 [Acropora millepora]","XP_029184620.2",335,"GPRASP1",33.333,"Q46817"
"FUN_000435-T1","FUN_000435","Length: 738","tRNA (uracil-5-)-methyltransferase homolog A-like isoform X1 [Acropora muricata]","XP_067033453.1",738,"ATP6V1A2",40.777,"Q8IZ69"
"FUN_000440-T1","FUN_000440","Length: 649","LOW QUALITY PROTEIN: beta-glucuronidase-like [Acropora millepora]","XP_044173753.1",652,"TCF25",55.155,"Q4FAT7"
"FUN_000441-T1","FUN_000441","Length: 512","Beta-glucuronidase [Acropora cervicornis]","KAK2574383.1",668,"GUSB",54.525,"O18835"
"FUN_000441-T2","FUN_000441","Length:720","Beta-glucuronidase [Acropora cervicornis]","KAK2574383.1",668,"GUSB",54.735,"O18835"
"FUN_000442-T1","FUN_000442","Length: 393","4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 [Acropora cervicornis]","KAK2568825.1",548,"FUT4",38.462,"G3MZR2"
"FUN_000443-T1","FUN_000443","Length: 416","4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 [Acropora cervicornis]","KAK2568825.1",548,"FUT4",36.09,"Q11126"
"FUN_000448-T1","FUN_000448","Length: 408","4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 [Acropora cervicornis]","KAK2568825.1",548,"FUT4",33.758,"Q11126"
"FUN_000451-T1","FUN_000451","Length:1585","Golgin subfamily A member 3 [Acropora cervicornis]","KAK2574384.1",1700,"OR3A3",24.157,"P55937"
"FUN_000452-T1","FUN_000452","Length: 521","Serine/threonine-protein kinase Chk2 [Acropora cervicornis]","KAK2574382.1",457,"CHEK2",52.262,"O96017"
"FUN_000453-T1","FUN_000453","Length: 402","Tektin-1 [Acropora cervicornis]","KAK2574445.1",418,"TEKT1",53.401,"Q969V4"
"FUN_000456-T1","FUN_000456","Length: 207","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8 [Acropora cervicornis]","KAK2574380.1",141,"HSCB",77.835,"Q8K3J1"
"FUN_000458-T1","FUN_000458","Length: 66","unnamed protein product [Porites lobata]","CAH3110753.1",66,"UBA52",58.929,"P00130"
"FUN_000466-T1","FUN_000466","Length: 183","vacuolar protein sorting-associated protein 29 [Porites lutea]","XP_073257043.1",187,"GPRASP1",82.418,"Q9QZ88"
"FUN_000469-T1","FUN_000469","Length: 450","hypothetical protein P5673_000764, partial [Acropora cervicornis]","KAK2574576.1",275,NA,40.415,"Q61545"
"FUN_000475-T1","FUN_000475","Length: 375","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1, partial [Acropora cervicornis]","KAK2574582.1",542,"SMARCE1",68.241,"Q6GQ82"
"FUN_000477-T1","FUN_000477","Length: 137","Mitotic-spindle organizing protein 2 [Acropora cervicornis]","KAK2574289.1",137,"MZT1P2",39.583,"Q6DC17"
"FUN_000480-T1","FUN_000480","Length: 861","oxysterol-binding protein 1-like isoform X4 [Acropora muricata]","XP_067033028.1",807,"FILIP1LP1",50,"Q5QNQ6"
"FUN_000481-T1","FUN_000481","Length: 413","P2X purinoceptor 4 [Acropora cervicornis]","KAK2574294.1",413,"AK4P4",49.873,"Q99571"
"FUN_000482-T1","FUN_000482","Length: 168","uncharacterized protein LOC141893808 [Acropora palmata]","XP_074635330.1",153,"GPRASP1",31.034,"Q12449"
"FUN_000483-T1","FUN_000483","Length: 212","uncharacterized protein [Acropora muricata]","XP_067033037.1",295,"GPRASP1",41.026,"P41924"
"FUN_000490-T1","FUN_000490","Length: 408","Dual specificity mitogen-activated protein kinase kinase 1","",NA,"MAP4K1",31.579,"Q9GSF8"
"FUN_000496-T1","FUN_000496","Length: 366","Developmentally-regulated GTP-binding protein 1 [Acropora cervicornis]","KAK2574569.1",340,"DRG1",82.192,"P43690"
"FUN_000499-T1","FUN_000499","Length: 4612","Dynein axonemal heavy chain 10 [Acropora cervicornis]","KAK2574097.1",4839,"DNAH10",65.33,"Q8IVF4"
"FUN_000500-T1","FUN_000500","Length: 400","D-amino-acid oxidase-like [Acropora millepora]","XP_029194821.1",400,"HAOL",31.675,"Q99042"
"FUN_000503-T1","FUN_000503","Length: 437","putative E3 ubiquitin-protein ligase DTX2 [Acropora cervicornis]","KAK2574093.1",460,"TRIM32",48.187,"Q86UW9"
"FUN_000505-T1","FUN_000505","Length: 505","hypothetical protein pdam_00000324 [Pocillopora damicornis]","RMX53761.1",508,NA,71.795,"Q9UMS4"
"FUN_000506-T1","FUN_000506","Length: 221","Protein unc-119-like protein B [Acropora cervicornis]","KAK2574359.1",231,"APBB1IP",62.78,"A6NIH7"
"FUN_000508-T1","FUN_000508","8 Length: 275","Serine dehydratase-like [Acropora cervicornis]","KAK2574354.1",287,"SDSL",52.963,"Q8VBT2"
"FUN_000513-T1","FUN_000513","Length: 1028","Unconventional myosin IC [Acropora cervicornis]","KAK2574356.1",931,"MYO1C",55.34,"Q5ZLA6"
"FUN_000516-T1","FUN_000516","Length: 745","peroxisomal multifunctional enzyme type 2-like [Acropora muricata]","XP_067034310.1",745,"UBA2",53.652,"P51659"
"FUN_000517-T1","FUN_000517","Length: 675","peroxisomal acyl-coenzyme A oxidase 3-like [Acropora muricata]","XP_067034311.1",710,"ACAD",53.446,"O15254"
"FUN_000525-T1","FUN_000525","Length: 129","Intraflagellar transport protein 20-like protein [Acropora cervicornis]","KAK2574142.1",144,"PHF20L1",75,"Q66I67"
"FUN_000531-T1","FUN_000531","Length: 413","BCAS3 microtubule associated cell migration factor [Acropora cervicornis]","KAK2574147.1",1229,"BCAS3",50.617,"Q99571"
"FUN_000546-T1","FUN_000546","Length: 839","Kinesin-like protein KIF12 [Acropora cervicornis]","KAK2573960.1",923,"GPRASP1",38.911,"Q9D2Z8"
"FUN_000547-T1","FUN_000547","Length: 933","cilia- and flagella-associated protein 251-like [Acropora muricata]","XP_067034048.1",933,"HOATZ",45.307,"Q8TBY9"
"FUN_000548-T1","FUN_000548","Length: 289","lissencephaly-1 homolog [Stylophora pistillata]","XP_022808294.1",409,"ACCS",81.661,"A7S338"
"FUN_000553-T1","FUN_000553","Length: 484","Beta-1 [Acropora cervicornis]","KAK2574339.1",290,"TGFBRE",47.806,"Q6Y288"
"FUN_000554-T1","FUN_000554","9 Length: 802","Ribosomal protein S6 kinase beta-1 [Acropora cervicornis]","KAK2574485.1",1006,"TGFBRE",56.134,"P67999"
"FUN_000555-T1","FUN_000555","0 Length: 1395","golgin subfamily A member 6-like protein 24 isoform X1 [Acropora muricata]","XP_067034010.1",1405,"MRGPRX1",29.936,"G0SA56"
"FUN_000557-T1","FUN_000557","1 Length: 272","unnamed protein product [Porites lobata]","CAH3110976.1",285,"UBA52",71.324,"O60671"
"FUN_000561-T1","FUN_000561","2 Length: 905","uncharacterized protein [Acropora muricata]","XP_067032184.1",1027,"GPRASP1",46.596,"Q04336"
"FUN_000567-T1","FUN_000567","3 Length: 446","PREDICTED: T-box transcription factor TBX1-like isoform X1 [Acropora digitifera]","XP_015757893.1",446,"TBXT",73.469,"O43435"
"FUN_000576-T1","FUN_000576","4 Length: 682","G protein-coupled receptor kinase 3-like isoform X2 [Acropora muricata]","XP_067033992.1",680,"GRK1",66.716,"P26818"
"FUN_000580-T1","FUN_000580","5 Length: 433","inositol polyphosphate 5-phosphatase K-like isoform X2 [Montipora foliosa]","XP_068677800.1",433,"FIG4",33.643,"Q8C5L6"
"FUN_000583-T1","FUN_000583","6 Length: 409","Serine/threonine-protein kinase TAO3 [Acropora cervicornis]","KAK2574131.1",923,"Taok3",71.875,"O88664"
"FUN_000584-T1","FUN_000584","7 Length: 558","Serine/threonine-protein kinase TAO3 [Acropora cervicornis]","KAK2574131.1",923,"Taok3",42.331,"O88664"
"FUN_000585-T1","FUN_000585","8 Length: 1362","Breakpoint cluster region protein [Acropora cervicornis]","KAK2574132.1",1488,"PWRN1",37.174,"Q8AVG0"
"FUN_000594-T1","FUN_000594","9 Length: 308","Carbonic anhydrase [Acropora cervicornis]","KAK2574136.1",298,"INHCAP",41.418,"Q92051"
