ProteinID,GeneID,Query.Length,Description,SequenceID,Length,GeneSymbol,GeneSymbol2
FUN_000115-T1,FUN_000115,Length: 506,Calcium uptake protein 1 [Acropora cervicornis],KAK2568398.1,457,MICU1,MICU1
FUN_000116-T1,FUN_000116,Length: 463,"Pre-mRNA-splicing factor RBM22, partial [Acropora cervicornis]",KAK2568399.1,742,LGI1,LGI1
FUN_000117-T1,FUN_000117,Length: 412,S-adenosylmethionine synthase-like [Orbicella faveolata],XP_020613435.1,387,SRML2,SRML2
FUN_000118-T1,FUN_000118,Length: 189,MOB kinase activator 3A [Acropora cervicornis],KAK2568329.1,909,MOB3A,MOB3A
FUN_000120-T1,FUN_000120,Length: 635,Heterogeneous nuclear ribonucleoprotein F [Acropora cervicornis],KAK2568365.1,770,HNRNPF,HNRNPF
FUN_000123-T1,FUN_000123,Length: 395,Caspase-7 [Acropora cervicornis],KAK2568366.1,908,CASP7,CASP7
FUN_000132-T1,FUN_000132,Length: 1955,hypothetical protein P5673_007535 [Acropora cervicornis],KAK2568483.1,1919,NA,NA
FUN_000133-T1,FUN_000133,Length: 196,Protein Hikeshi [Acropora cervicornis],KAK2568481.1,301,HIKESHI,HIKESHI
FUN_000141-T1,FUN_000141,Length: 423,hypothetical protein P5673_007312 [Acropora cervicornis],KAK2568302.1,385,NA,NA
FUN_000143-T1,FUN_000143,Length: 1003,Myosin-VIIa [Acropora cervicornis],KAK2564878.1,2169,MYO7A,MYO7A
FUN_000146-T1,FUN_000146,Length: 450,hypothetical protein P5673_007308 [Acropora cervicornis],KAK2568299.1,444,NA,NA
FUN_000149-T1,FUN_000149,Length: 1038,RUN and FYVE domain-containing protein 2 [Acropora cervicornis],KAK2568300.1,585,RUFY2,RUFY2
FUN_000150-T1,FUN_000150,Length: 409,Phosphatidylinositol 3 [Acropora cervicornis],KAK2568172.1,377,A12M3,A12M3
FUN_000152-T1,FUN_000152,Length: 181,group XIIA secretory phospholipase A2-like isoform X2 [Montipora capricornis],XP_068724386.1,164,PLA2G12A,PLA2G12A
FUN_000157-T1,FUN_000157,Length: 126,hypothetical protein P5673_011037 [Acropora cervicornis],KAK2565120.1,325,NA,NA
FUN_000160-T1,FUN_000160,Length: 904,NF-kB [Acropora cervicornis],UBR69922.1,904,REL,REL
FUN_000162-T1,FUN_000162,Length: 1199,Rap guanine nucleotide exchange factor 2 [Acropora cervicornis],KAK2568320.1,1173,RAPGEF2,RAPGEF2
FUN_000170-T1,FUN_000170,Length: 796,GDH/6PGL endoplasmic bifunctional protein [Acropora cervicornis],KAK2568318.1,838,H6PD,H6PD
FUN_000175-T1,FUN_000175,Length: 838,GDH/6PGL endoplasmic bifunctional protein [Acropora cervicornis],KAK2568318.1,838,H6PD,H6PD
FUN_000177-T1,FUN_000177,Length: 540,Beta-hexosaminidase subunit beta [Acropora cervicornis],KAK2568319.1,540,HEXB,HEXB
FUN_000179-T1,FUN_000179,Length: 582,Leucine-rich repeat protein soc-2-like protein [Acropora cervicornis],KAK2568260.1,500,PRELP,PRELP
FUN_000181-T1,FUN_000181,Length: 286,hypothetical protein P5673_007264 [Acropora cervicornis],KAK2568264.1,286,NA,NA
FUN_000184-T1,FUN_000184,Length: 427,26S proteasome regulatory subunit 6A [Acropora cervicornis],KAK2568262.1,492,TRAPPC6A,TRAPPC6A
FUN_000186-T1,FUN_000186,Length: 152,Polyamine oxidase 1 [Acropora cervicornis],KAK2568268.1,975,ACOX1,ACOX1
FUN_000187-T1,FUN_000187,Length: 231,Polyamine oxidase 1 [Acropora cervicornis],KAK2568268.1,975,ACOX1,ACOX1
FUN_000188-T1,FUN_000188,Length: 305,Polyamine oxidase 1 [Acropora cervicornis],KAK2568268.1,975,ACOX1,ACOX1
FUN_000189-T1,FUN_000189,Length: 166,Polyamine oxidase 1 [Acropora cervicornis],KAK2568268.1,975,ACOX1,ACOX1
FUN_000192-T1,FUN_000192,Length: 561,protein DD3-3-like isoform X2 [Acropora millepora],XP_044174874.1,672,ATP6V1A2,ATP6V1A2
FUN_000195-T1,FUN_000195,Length: 689,hypothetical protein P5673_007452 [Acropora cervicornis],KAK2568420.1,493,NA,NA
FUN_000201-T1,FUN_000201,Length: 779,Oxysterol-binding protein-related protein 11 [Acropora cervicornis],KAK2568459.1,2719,MED20,MED20
FUN_000202-T1,FUN_000202,Length: 2555,Oxysterol-binding protein-related protein 11 [Acropora cervicornis],KAK2568459.1,2719,MED20,MED20
FUN_000203-T1,FUN_000203,Length: 2459,Oxysterol-binding protein-related protein 11 [Acropora cervicornis],KAK2568459.1,2719,MED20,MED20
FUN_000209-T1,FUN_000209,Length:455,Beta-hexosaminidase subunit beta [Acropora cervicornis],KAK2568425.1,441,HEXB,HEXB
FUN_000210-T1,FUN_000210,Length:417,PREDICTED: heterogeneous nuclear ribonucleoprotein 27C-like isoform X1 [Acropora digitifera],XP_015767123.1,188,HNRNPA0,HNRNPA0
FUN_000211-T1,FUN_000211,Length:524,Metal cation symporter ZIP14 [Acropora cervicornis],KAK2568428.1,410,SLC39A14,SLC39A14
FUN_000214-T1,FUN_000214,Length:2018,Nuclear pore membrane glycoprotein 210 [Acropora cervicornis],KAK2568430.1,894,RNU6-210P,RNU6-210P
FUN_000219-T1,FUN_000219,Length:373,Protein XRP2 [Acropora cervicornis],KAK2568491.1,340,GPRASP1,GPRASP1
FUN_000221-T1,FUN_000221,Length:538,"putative GTP-binding protein 6, partial [Acropora cervicornis]",KAK2568333.1,504,GTPBP6,GTPBP6
FUN_000222-T1,FUN_000222,Length:384,V-type proton ATPase subunit C-like [Acropora millepora],XP_029186910.1,384,EIF3CL,EIF3CL
FUN_000227-T1,FUN_000227,Length:500,hypothetical protein P5673_009447 [Acropora cervicornis],KAK2566769.1,863,NA,NA
FUN_000231-T1,FUN_000231,Length:412,26S protease regulatory subunit 6B isoform X1 [Lates japonicus],GLD53078.1,367,RFX1,RFX1
FUN_000233-T1,FUN_000233,Length:494,hypothetical protein P5673_009383 [Acropora cervicornis],KAK2566711.1,452,NA,NA
FUN_000235-T1,FUN_000235,Length:446,Arsenite methyltransferase [Acropora cervicornis],KAK2567667.1,717,METTL3,METTL3
FUN_000236-T1,FUN_000236,Length:120,Eukaryotic translation initiation factor 3 subunit F [Acropora cervicornis],KAK2566704.1,393,EIF3FP3,EIF3FP3
FUN_000238-T1,FUN_000238,Length:284,Eukaryotic translation initiation factor 3 subunit F [Acropora cervicornis],KAK2566704.1,393,EIF3FP3,EIF3FP3
FUN_000239-T1,FUN_000239,Length:633,ZP domain-containing protein [Acropora cervicornis],KAK2566703.1,526,VWC2L,VWC2L
FUN_000241-T1,FUN_000241,Length:1018,Fibronectin type III domain-containing protein [Acropora cervicornis],KAK2566709.1,408,FNDC1,FNDC1
FUN_000242-T1,FUN_000242,Length:1233,ZP domain-containing protein [Acropora cervicornis],KAK2566500.1,1136,VWC2L,VWC2L
FUN_000243-T1,FUN_000243,Length:311,ZP domain-containing protein-like [Acropora muricata],XP_067045168.1,381,MLPL1,MLPL1
FUN_000244-T1,FUN_000244,Length:442,Succinate--CoA ligase [ADP-forming] subunit beta [Acropora cervicornis],KAK2566505.1,433,SUCLA2,SUCLA2
FUN_000246-T1,FUN_000246,Length:527,Chordin-like protein 1 [Acropora cervicornis],KAK2566501.1,487,MAPK1IP1L,MAPK1IP1L
FUN_000249-T1,FUN_000249,Length:989,26S proteasome non-ATPase regulatory subunit 1 [Pocillopora verrucosa],XP_066024622.1,1002,PSMD1,PSMD1
FUN_000256-T1,FUN_000256,Length:463,uncharacterized protein [Acropora muricata],XP_067053101.1,463,GPRASP1,GPRASP1
FUN_000257-T1,FUN_000257,Length:546,"PREDICTED: propionyl-CoA carboxylase beta chain, mitochondrial-like [Acropora digitifera]",XP_015761141.1,546,PCCB,PCCB
FUN_000261-T1,FUN_000261,Length:274,Phospholipid scramblase 3 [Acropora cervicornis],KAK2566642.1,308,PLSCR3,PLSCR3
FUN_000267-T1,FUN_000267,Length:153,hypothetical protein P5673_009150 [Acropora cervicornis],KAK2566529.1,659,NA,NA
FUN_000274-T1,FUN_000274,Length:143,"hypothetical protein P5673_009148, partial [Acropora cervicornis]",KAK2566528.1,122,NA,NA
FUN_000281-T1,FUN_000281,Length:178,hypothetical protein P5673_009186 [Acropora cervicornis],KAK2566558.1,110,NA,NA
FUN_000287-T1,FUN_000287,Length: 181,prenylated Rab acceptor protein 1-like [Acropora muricata],XP_067045525.1,180,RABAC1,RABAC1
FUN_000305-T1,FUN_000305,Length: 512,coatomer subunit delta-like [Acropora millepora],XP_029183862.1,511,DLK1,DLK1
FUN_000309-T1,FUN_000309,Length: 694,"Roundabout-like protein 2, partial [Acropora cervicornis]",KAK2566787.1,512,LGI1,LGI1
FUN_000312-T1,FUN_000312,Length: 889,Roundabout-like protein 1 [Acropora cervicornis],KAK2566677.1,735,MAPK1IP1L,MAPK1IP1L
FUN_000313-T1,FUN_000313,Length: 783,Neural cell adhesion molecule 1 [Acropora cervicornis],KAK2566682.1,739,NCAM1,NCAM1
FUN_000314-T1,FUN_000314,Length: 113,Neural cell adhesion molecule 1 [Acropora cervicornis],KAK2566680.1,88,NCAM1,NCAM1
FUN_000318-T1,FUN_000318,Length: 251,putative oxidoreductase YvaG [Acropora cervicornis],KAK2566737.1,352,FOXRED1,FOXRED1
FUN_000319-T1,FUN_000319,Length: 106,putative oxidoreductase YvaG [Acropora cervicornis],KAK2566737.1,352,FOXRED1,FOXRED1
FUN_000321-T1,FUN_000321,Length:145,Prefoldin subunit 2 [Acropora cervicornis],KAK2566735.1,93,EIF2S2P2,EIF2S2P2
FUN_000328-T1,FUN_000328,Length:644,Signal recognition particle receptor subunit alpha [Acropora cervicornis],KAK2566608.1,573,RN7SL1,RN7SL1
FUN_000331-T1,FUN_000331,Length:385,PREDICTED: upstream stimulatory factor 1-like isoform X2 [Acropora digitifera],XP_015764555.1,378,EEF1A1L14,EEF1A1L14
FUN_000334-T1,FUN_000334,Length:897,Hypoxia up-regulated protein 1 [Acropora cervicornis],KAK2566848.1,934,HYOU1,HYOU1
FUN_000334-T2,FUN_000334,Length:1044,Hypoxia up-regulated protein 1 [Acropora cervicornis],KAK2566848.1,934,HYOU1,HYOU1
FUN_000340-T1,FUN_000340,Length:158,Nuclear cap-binding protein subunit 2 [Acropora cervicornis],KAK2566849.1,158,NCBP2,NCBP2
FUN_000342-T1,FUN_000342,Length:892,Histone deacetylase complex subunit SAP130 [Acropora cervicornis],KAK2566853.1,892,HDAC1,HDAC1
FUN_000343-T1,FUN_000343,Length:1436,Multidrug resistance-associated protein 1 [Acropora cervicornis],KAK2566619.1,1303,ABCC1,ABCC1
FUN_000344-T1,FUN_000344,Length:741,Sodium/potassium-transporting ATPase subunit alpha-1 [Acropora cervicornis],KAK2566614.1,988,ATP1A1,ATP1A1
FUN_000345-T1,FUN_000345,Length:266,Sodium/potassium-transporting ATPase subunit alpha-1 [Acropora cervicornis],KAK2566614.1,988,ATP1A1,ATP1A1
FUN_000346-T1,FUN_000346,Length:1053,Sodium/potassium-transporting ATPase subunit alpha [Acropora cervicornis],KAK2566613.1,1000,ATP1A1,ATP1A1
FUN_000347-T1,FUN_000347,Length:478,tektin-1-like [Acropora muricata],XP_067055491.1,478,TEKTL1,TEKTL1
FUN_000349-T1,FUN_000349,Length:1590,Multidrug resistance-associated protein 1 [Acropora cervicornis],KAK2566616.1,1439,ABCC1,ABCC1
FUN_000350-T1,FUN_000350,Length:1313,multidrug resistance-associated protein 1-like isoform X1 [Acropora muricata],XP_067029435.1,1349,SLC11A1,SLC11A1
FUN_000352-T1,FUN_000352,Length:295,GA-binding protein alpha chain [Acropora cervicornis],KAK2566745.1,424,MAP1LC3A,MAP1LC3A
FUN_000371-T1,FUN_000371,Length:233,hypothetical protein P5673_009310 [Acropora cervicornis],KAK2566650.1,146,NA,NA
FUN_000375-T1,FUN_000375,Length:157,Mediator of RNA polymerase II transcription subunit 15 [Acropora cervicornis],KAK2574604.1,709,POLR2A,POLR2A
FUN_000380-T1,FUN_000380,Length:176,lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog [Acropora millepora],XP_044173782.1,176,TNFAIP7,TNFAIP7
FUN_000410-T1,FUN_000410,Length: 780,Huntingtin-interacting protein 1 [Acropora cervicornis],KAK2573968.1,801,HIP1,HIP1
FUN_000414-T1,FUN_000414,Length:3974,Plectin [Acropora cervicornis],KAK2574442.1,7007,PLEC,PLEC
FUN_000415-T1,FUN_000415,Length: 9302,Dystonin [Acropora cervicornis],KAK2574441.1,3687,DST,DST
FUN_000418-T1,FUN_000418,Length: 672,Solute carrier family 13 member 3 [Acropora cervicornis],KAK2574168.1,772,SLC13A3,SLC13A3
FUN_000422-T1,FUN_000422,Length: 347,CD2 antigen cytoplasmic tail-binding protein 2-like [Acropora millepora],XP_029184612.2,347,CD2BP2,CD2BP2
FUN_000434-T1,FUN_000434,Length: 336,uncharacterized protein LOC114952760 [Acropora millepora],XP_029184620.2,335,GPRASP1,GPRASP1
FUN_000435-T1,FUN_000435,Length: 738,tRNA (uracil-5-)-methyltransferase homolog A-like isoform X1 [Acropora muricata],XP_067033453.1,738,ATP6V1A2,ATP6V1A2
FUN_000440-T1,FUN_000440,Length: 649,LOW QUALITY PROTEIN: beta-glucuronidase-like [Acropora millepora],XP_044173753.1,652,TCF25,TCF25
FUN_000441-T1,FUN_000441,Length: 512,Beta-glucuronidase [Acropora cervicornis],KAK2574383.1,668,GUSB,GUSB
FUN_000441-T2,FUN_000441,Length:720,Beta-glucuronidase [Acropora cervicornis],KAK2574383.1,668,GUSB,GUSB
FUN_000442-T1,FUN_000442,Length: 393,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 [Acropora cervicornis],KAK2568825.1,548,FUT4,FUT4
FUN_000443-T1,FUN_000443,Length: 416,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 [Acropora cervicornis],KAK2568825.1,548,FUT4,FUT4
FUN_000448-T1,FUN_000448,Length: 408,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 [Acropora cervicornis],KAK2568825.1,548,FUT4,FUT4
FUN_000451-T1,FUN_000451,Length:1585,Golgin subfamily A member 3 [Acropora cervicornis],KAK2574384.1,1700,OR3A3,OR3A3
FUN_000452-T1,FUN_000452,Length: 521,Serine/threonine-protein kinase Chk2 [Acropora cervicornis],KAK2574382.1,457,CHEK2,CHEK2
FUN_000453-T1,FUN_000453,Length: 402,Tektin-1 [Acropora cervicornis],KAK2574445.1,418,TEKT1,TEKT1
FUN_000456-T1,FUN_000456,Length: 207,NADH dehydrogenase [ubiquinone] iron-sulfur protein 8 [Acropora cervicornis],KAK2574380.1,141,HSCB,HSCB
FUN_000458-T1,FUN_000458,Length: 66,unnamed protein product [Porites lobata],CAH3110753.1,66,UBA52,UBA52
FUN_000466-T1,FUN_000466,Length: 183,vacuolar protein sorting-associated protein 29 [Porites lutea],XP_073257043.1,187,GPRASP1,GPRASP1
FUN_000469-T1,FUN_000469,Length: 450,"hypothetical protein P5673_000764, partial [Acropora cervicornis]",KAK2574576.1,275,NA,NA
FUN_000475-T1,FUN_000475,Length: 375,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1, partial [Acropora cervicornis]",KAK2574582.1,542,SMARCE1,SMARCE1
FUN_000477-T1,FUN_000477,Length: 137,Mitotic-spindle organizing protein 2 [Acropora cervicornis],KAK2574289.1,137,MZT1P2,MZT1P2
FUN_000480-T1,FUN_000480,Length: 861,oxysterol-binding protein 1-like isoform X4 [Acropora muricata],XP_067033028.1,807,FILIP1LP1,FILIP1LP1
FUN_000481-T1,FUN_000481,Length: 413,P2X purinoceptor 4 [Acropora cervicornis],KAK2574294.1,413,AK4P4,AK4P4
FUN_000482-T1,FUN_000482,Length: 168,uncharacterized protein LOC141893808 [Acropora palmata],XP_074635330.1,153,GPRASP1,GPRASP1
FUN_000483-T1,FUN_000483,Length: 212,uncharacterized protein [Acropora muricata],XP_067033037.1,295,GPRASP1,GPRASP1
FUN_000490-T1,FUN_000490,Length: 408,Dual specificity mitogen-activated protein kinase kinase 1,,NA,MAP4K1,MAP4K1
FUN_000496-T1,FUN_000496,Length: 366,Developmentally-regulated GTP-binding protein 1 [Acropora cervicornis],KAK2574569.1,340,DRG1,DRG1
FUN_000499-T1,FUN_000499,Length: 4612,Dynein axonemal heavy chain 10 [Acropora cervicornis],KAK2574097.1,4839,DNAH10,DNAH10
FUN_000500-T1,FUN_000500,Length: 400,D-amino-acid oxidase-like [Acropora millepora],XP_029194821.1,400,HAOL,HAOL
FUN_000503-T1,FUN_000503,Length: 437,putative E3 ubiquitin-protein ligase DTX2 [Acropora cervicornis],KAK2574093.1,460,TRIM32,TRIM32
FUN_000505-T1,FUN_000505,Length: 505,hypothetical protein pdam_00000324 [Pocillopora damicornis],RMX53761.1,508,NA,NA
FUN_000506-T1,FUN_000506,Length: 221,Protein unc-119-like protein B [Acropora cervicornis],KAK2574359.1,231,APBB1IP,APBB1IP
FUN_000508-T1,FUN_000508,8 Length: 275,Serine dehydratase-like [Acropora cervicornis],KAK2574354.1,287,SDSL,SDSL
FUN_000513-T1,FUN_000513,Length: 1028,Unconventional myosin IC [Acropora cervicornis],KAK2574356.1,931,MYO1C,MYO1C
FUN_000516-T1,FUN_000516,Length: 745,peroxisomal multifunctional enzyme type 2-like [Acropora muricata],XP_067034310.1,745,UBA2,UBA2
FUN_000517-T1,FUN_000517,Length: 675,peroxisomal acyl-coenzyme A oxidase 3-like [Acropora muricata],XP_067034311.1,710,ACAD,ACAD
FUN_000525-T1,FUN_000525,Length: 129,Intraflagellar transport protein 20-like protein [Acropora cervicornis],KAK2574142.1,144,PHF20L1,PHF20L1
FUN_000531-T1,FUN_000531,Length: 413,BCAS3 microtubule associated cell migration factor [Acropora cervicornis],KAK2574147.1,1229,BCAS3,BCAS3
FUN_000546-T1,FUN_000546,Length: 839,Kinesin-like protein KIF12 [Acropora cervicornis],KAK2573960.1,923,GPRASP1,GPRASP1
FUN_000547-T1,FUN_000547,Length: 933,cilia- and flagella-associated protein 251-like [Acropora muricata],XP_067034048.1,933,HOATZ,HOATZ
FUN_000548-T1,FUN_000548,Length: 289,lissencephaly-1 homolog [Stylophora pistillata],XP_022808294.1,409,ACCS,ACCS
FUN_000553-T1,FUN_000553,Length: 484,Beta-1 [Acropora cervicornis],KAK2574339.1,290,TGFBRE,TGFBRE
FUN_000554-T1,FUN_000554,9 Length: 802,Ribosomal protein S6 kinase beta-1 [Acropora cervicornis],KAK2574485.1,1006,TGFBRE,TGFBRE
FUN_000555-T1,FUN_000555,0 Length: 1395,golgin subfamily A member 6-like protein 24 isoform X1 [Acropora muricata],XP_067034010.1,1405,MRGPRX1,MRGPRX1
FUN_000557-T1,FUN_000557,1 Length: 272,unnamed protein product [Porites lobata],CAH3110976.1,285,UBA52,UBA52
FUN_000561-T1,FUN_000561,2 Length: 905,uncharacterized protein [Acropora muricata],XP_067032184.1,1027,GPRASP1,GPRASP1
FUN_000567-T1,FUN_000567,3 Length: 446,PREDICTED: T-box transcription factor TBX1-like isoform X1 [Acropora digitifera],XP_015757893.1,446,TBXT,TBXT
FUN_000576-T1,FUN_000576,4 Length: 682,G protein-coupled receptor kinase 3-like isoform X2 [Acropora muricata],XP_067033992.1,680,GRK1,GRK1
FUN_000580-T1,FUN_000580,5 Length: 433,inositol polyphosphate 5-phosphatase K-like isoform X2 [Montipora foliosa],XP_068677800.1,433,FIG4,FIG4
FUN_000583-T1,FUN_000583,6 Length: 409,Serine/threonine-protein kinase TAO3 [Acropora cervicornis],KAK2574131.1,923,Taok3,Taok3
FUN_000584-T1,FUN_000584,7 Length: 558,Serine/threonine-protein kinase TAO3 [Acropora cervicornis],KAK2574131.1,923,Taok3,Taok3
FUN_000585-T1,FUN_000585,8 Length: 1362,Breakpoint cluster region protein [Acropora cervicornis],KAK2574132.1,1488,PWRN1,PWRN1
FUN_000594-T1,FUN_000594,9 Length: 308,Carbonic anhydrase [Acropora cervicornis],KAK2574136.1,298,INHCAP,INHCAP
FUN_000596-T1,FUN_000596,0 Length: 307,Carbonic anhydrase 12 [Acropora cervicornis],KAK2574609.1,297,CA12,CA12
FUN_000597-T1,FUN_000597,1 Length: 305,Carbonic anhydrase 12 [Acropora cervicornis],KAK2574609.1,297,CA12,CA12
FUN_000599-T1,FUN_000599,2 Length: 395,Carbonic anhydrase 2 [Acropora cervicornis],KAK2574613.1,557,CA2,CA2
FUN_000600-T1,FUN_000600,3 Length: 348,Carbonic anhydrase 2 [Acropora cervicornis],KAK2574613.1,557,CA2,CA2
FUN_000605-T1,FUN_000605,4 Length: 169,ubiquitin-conjugating enzyme E2 G1-like isoform X2 [Acropora millepora],XP_029193669.1,144,UBE2E2,UBE2E2
FUN_000611-T1,FUN_000611,5 Length: 164,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [Acropora cervicornis],KAK2573925.1,543,Enpp5,Enpp5
FUN_000615-T1,FUN_000615,6 Length: 1015,MORC family CW-type zinc finger protein 3 [Acropora cervicornis],KAK2550284.1,172,MORC3,MORC3
FUN_000618-T1,FUN_000618,7 Length: 618,Vacuolar protein sorting-associated protein 33A [Acropora cervicornis],KAK2574405.1,602,GPRASP1,GPRASP1
FUN_000619-T1,FUN_000619,8 Length: 439,Transcobalamin-1 [Acropora cervicornis],KAK2574403.1,370,TCN1,TCN1
FUN_000625-T1,FUN_000625,9 Length: 214,hypothetical protein P5673_000685 [Acropora cervicornis],KAK2574506.1,159,NA,NA
FUN_000627-T1,FUN_000627,0 Length: 350,septin-2-like isoform X1 [Montipora foliosa],XP_068678083.1,360,ATP6V1A2,ATP6V1A2
FUN_000631-T1,FUN_000631,1 Length: 316,pyridoxal 5'-phosphate synthase subunit SNZERR-like isoform X1 [Acropora millepora],XP_029195150.2,323,PNPO,PNPO
FUN_000632-T1,FUN_000632,2 Length: 242,pyridoxal 5'-phosphate synthase subunit PdxT-like [Acropora palmata],XP_074635065.1,242,PNPO,PNPO
FUN_000633-T1,FUN_000633,3 Length: 171,uncharacterized protein [Acropora muricata],XP_067033339.1,171,GPRASP1,GPRASP1
FUN_000636-T1,FUN_000636,Length:237,hypothetical protein,,NA,NA,NA
FUN_000638-T1,FUN_000638,Length:214,Transmembrane protein 134 [Acropora cervicornis],KAK2574311.1,202,TMEM134,TMEM134
FUN_000639-T1,FUN_000639,Length:220,hypothetical protein P5673_000460 [Acropora cervicornis],KAK2574312.1,184,NA,NA
FUN_000644-T1,FUN_000644,Length:158,RNA-binding protein 1 [Acropora cervicornis],KAK2574015.1,194,MAPK1IP1L,MAPK1IP1L
FUN_000645-T1,FUN_000645,Length:250,endoplasmic reticulum resident protein 29-like isoform X1 [Acropora millepora],XP_029194044.2,250,KRTAP29-1,KRTAP29-1
FUN_000646-T1,FUN_000646,Length:145,Serine/arginine-rich splicing factor 3 [Acropora cervicornis],KAK2574013.1,153,SRSF3,SRSF3
FUN_000647-T1,FUN_000647,Length:1376,Serine/threonine-protein kinase 36 [Acropora cervicornis],KAK2574018.1,1264,STK36,STK36
