"Protein","Protein.Description","pident","UniprotID"
"tr|A0A1Q9BVR1|A0A1Q9BVR1_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45589 PE=4 SV=1",NA,NA
"tr|A0A1Q9BVT7|A0A1Q9BVT7_SYMMI","Putative beta-glucosidase J (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=bglJ PE=4 SV=1",NA,NA
"tr|A0A1Q9BVY2|A0A1Q9BVY2_SYMMI","Fructose-bisphosphate aldolase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45503 PE=3 SV=1",NA,NA
"tr|A0A1Q9BW25|A0A1Q9BW25_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45411 PE=4 SV=1",NA,NA
"tr|A0A1Q9BW36|A0A1Q9BW36_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45440 PE=4 SV=1",NA,NA
"tr|A0A1Q9BW59|A0A1Q9BW59_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45463 PE=4 SV=1",NA,NA
"tr|A0A1Q9BW84|A0A1Q9BW84_SYMMI","26S proteasome non-ATPase regulatory subunit 6-like (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=RPN7 PE=4 SV=1",NA,NA
"tr|A0A1Q9BWM0|A0A1Q9BWM0_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45164 PE=4 SV=1",NA,NA
"tr|A0A1Q9BWT9|A0A1Q9BWT9_SYMMI","ANK_REP_REGION domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45226 PE=4 SV=1",NA,NA
"tr|A0A1Q9BWX0|A0A1Q9BWX0_SYMMI","ATP-dependent DNA helicase RRM3 OS=Symbiodinium microadriaticum OX=2951 GN=RRM3 PE=4 SV=1",NA,NA
"tr|A0A1Q9BX28|A0A1Q9BX28_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45047 PE=4 SV=1",NA,NA
"tr|A0A1Q9BXU2|A0A1Q9BXU2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44724 PE=4 SV=1",NA,NA
"tr|A0A1Q9BY35|A0A1Q9BY35_SYMMI","Copia protein OS=Symbiodinium microadriaticum OX=2951 GN=GIP PE=4 SV=1",NA,NA
"tr|A0A1Q9BY94|A0A1Q9BY94_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44517 PE=4 SV=1",NA,NA
"tr|A0A1Q9BYJ2|A0A1Q9BYJ2_SYMMI","Fucoxanthin-chlorophyll a-c binding protein B, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=FCPB PE=4 SV=1",NA,NA
"tr|A0A1Q9BYL8|A0A1Q9BYL8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44375 PE=4 SV=1",NA,NA
"tr|A0A1Q9BYM4|A0A1Q9BYM4_SYMMI","Sperm acrosomal protein FSA-ACR.1 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44376 PE=4 SV=1",NA,NA
"tr|A0A1Q9BYV2|A0A1Q9BYV2_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44297 PE=4 SV=1",NA,NA
"tr|A0A1Q9BYX6|A0A1Q9BYX6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44349 PE=4 SV=1",NA,NA
"tr|A0A1Q9BYZ0|A0A1Q9BYZ0_SYMMI","Heat shock 90 kDa protein-like OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44246 PE=3 SV=1",NA,NA
"tr|A0A1Q9BZ86|A0A1Q9BZ86_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44138 PE=4 SV=1",NA,NA
"tr|A0A1Q9BZD4|A0A1Q9BZD4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44099 PE=4 SV=1",NA,NA
"tr|A0A1Q9BZE2|A0A1Q9BZE2_SYMMI","CCT-eta (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=MAL3P3.6 PE=3 SV=1",NA,NA
"tr|A0A1Q9BZE3|A0A1Q9BZE3_SYMMI","(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=fabZ PE=3 SV=1",NA,NA
"tr|A0A1Q9BZH6|A0A1Q9BZH6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44035 PE=4 SV=1",NA,NA
"tr|A0A1Q9BZJ4|A0A1Q9BZJ4_SYMMI","Octopine dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=odh1 PE=4 SV=1",NA,NA
"tr|A0A1Q9BZK1|A0A1Q9BZK1_SYMMI","Protein NLRC3 OS=Symbiodinium microadriaticum OX=2951 GN=NLRC3 PE=4 SV=1",NA,NA
"tr|A0A1Q9BZS5|A0A1Q9BZS5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43921 PE=4 SV=1",NA,NA
"tr|A0A1Q9BZW7|A0A1Q9BZW7_SYMMI","Linear gramicidin synthase subunit C (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=lgrC PE=4 SV=1",NA,NA
"tr|A0A1Q9BZX3|A0A1Q9BZX3_SYMMI","RNA-directed RNA polymerase L OS=Symbiodinium microadriaticum OX=2951 GN=L PE=4 SV=1",NA,NA
"tr|A0A1Q9C072|A0A1Q9C072_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43818 PE=4 SV=1",NA,NA
"tr|A0A1Q9C0C1|A0A1Q9C0C1_SYMMI","60 kDa chaperonin 1 (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=groL1 PE=3 SV=1",NA,NA
"tr|A0A1Q9C0E5|A0A1Q9C0E5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43685 PE=4 SV=1",NA,NA
"tr|A0A1Q9C0I8|A0A1Q9C0I8_SYMMI","Alpha-ketoglutarate-dependent dioxygenase alkB-like 3 OS=Symbiodinium microadriaticum OX=2951 GN=ALKBH3 PE=4 SV=1",NA,NA
"tr|A0A1Q9C0M3|A0A1Q9C0M3_SYMMI","Tricarboxylate transport protein, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=SLC25A1 PE=3 SV=1",NA,NA
"tr|A0A1Q9C0U5|A0A1Q9C0U5_SYMMI","Fucoxanthin-chlorophyll a-c binding protein, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=FCP PE=4 SV=1",NA,NA
"tr|A0A1Q9C0W0|A0A1Q9C0W0_SYMMI","Poly [ADP-ribose] polymerase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=PARP6 PE=4 SV=1",NA,NA
"tr|A0A1Q9C0Y8|A0A1Q9C0Y8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43469 PE=4 SV=1",NA,NA
"tr|A0A1Q9C197|A0A1Q9C197_SYMMI","Acetyl-CoA carboxylase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=accA PE=4 SV=1",NA,NA
"tr|A0A1Q9C1D9|A0A1Q9C1D9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43289 PE=4 SV=1",NA,NA
"tr|A0A1Q9C1M6|A0A1Q9C1M6_SYMMI","Xylose isomerase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=xylA PE=3 SV=1",NA,NA
"tr|A0A1Q9C1P9|A0A1Q9C1P9_SYMMI","(2R,3S)-2-methylisocitrate dehydratase OS=Symbiodinium microadriaticum OX=2951 GN=acnB PE=4 SV=1",NA,NA
"tr|A0A1Q9C1R0|A0A1Q9C1R0_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43147 PE=4 SV=1",NA,NA
"tr|A0A1Q9C1U8|A0A1Q9C1U8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43104 PE=4 SV=1",NA,NA
"tr|A0A1Q9C216|A0A1Q9C216_SYMMI","DctM domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43036 PE=4 SV=1",NA,NA
"tr|A0A1Q9C286|A0A1Q9C286_SYMMI","LINE-1 retrotransposable element ORF2 protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42956 PE=4 SV=1",NA,NA
"tr|A0A1Q9C2B8|A0A1Q9C2B8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42927 PE=4 SV=1",NA,NA
"tr|A0A1Q9C2F0|A0A1Q9C2F0_SYMMI","GTP-binding protein SAR1A OS=Symbiodinium microadriaticum OX=2951 GN=SAR1A PE=3 SV=1",NA,NA
"tr|A0A1Q9C2W2|A0A1Q9C2W2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42713 PE=4 SV=1",NA,NA
"tr|A0A1Q9C2X7|A0A1Q9C2X7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42673 PE=4 SV=1",NA,NA
"tr|A0A1Q9C323|A0A1Q9C323_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42638 PE=4 SV=1",NA,NA
"tr|A0A1Q9C325|A0A1Q9C325_SYMMI","Receptor expression-enhancing protein 2 (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=Reep2 PE=3 SV=1",NA,NA
"tr|A0A1Q9C327|A0A1Q9C327_SYMMI","Ankyrin repeat domain-containing protein 50 OS=Symbiodinium microadriaticum OX=2951 GN=ANKRD50 PE=4 SV=1",NA,NA
"tr|A0A1Q9C391|A0A1Q9C391_SYMMI","Nipped-B-like protein B OS=Symbiodinium microadriaticum OX=2951 GN=nipblb PE=4 SV=1",NA,NA
"tr|A0A1Q9C3D6|A0A1Q9C3D6_SYMMI","Nicotinamide phosphoribosyltransferase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=NAMPT PE=3 SV=1",NA,NA
"tr|A0A1Q9C3F4|A0A1Q9C3F4_SYMMI","Transketolase OS=Symbiodinium microadriaticum OX=2951 GN=tkt PE=3 SV=1",NA,NA
"tr|A0A1Q9C3N4|A0A1Q9C3N4_SYMMI","Putative serine-O-acetyltransferase cys2 OS=Symbiodinium microadriaticum OX=2951 GN=cys2 PE=3 SV=1",NA,NA
"tr|A0A1Q9C3V5|A0A1Q9C3V5_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42327 PE=4 SV=1",NA,NA
"tr|A0A1Q9C400|A0A1Q9C400_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42271 PE=4 SV=1",NA,NA
"tr|A0A1Q9C427|A0A1Q9C427_SYMMI","Hsp90 chaperone protein kinase-targeting subunit (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=cdc37 PE=3 SV=1",NA,NA
"tr|A0A1Q9C446|A0A1Q9C446_SYMMI","Light-harvesting complex I LH38 protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42223 PE=4 SV=1",NA,NA
"tr|A0A1Q9C461|A0A1Q9C461_SYMMI","Putative fumarate reductase OS=Symbiodinium microadriaticum OX=2951 GN=osm1 PE=4 SV=1",NA,NA
"tr|A0A1Q9C4F9|A0A1Q9C4F9_SYMMI","Leucine-rich repeat-containing protein 56 OS=Symbiodinium microadriaticum OX=2951 GN=Lrrc56 PE=4 SV=1",NA,NA
"tr|A0A1Q9C4I5|A0A1Q9C4I5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42053 PE=4 SV=1",NA,NA
"tr|A0A1Q9C4K3|A0A1Q9C4K3_SYMMI","Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Symbiodinium microadriaticum OX=2951 GN=ARFGEF2 PE=4 SV=1",NA,NA
"tr|A0A1Q9C4N6|A0A1Q9C4N6_SYMMI","Pentafunctional AROM polypeptide OS=Symbiodinium microadriaticum OX=2951 GN=ARO1 PE=3 SV=1",NA,NA
"tr|A0A1Q9C4W3|A0A1Q9C4W3_SYMMI","40S ribosomal protein S9-1 OS=Symbiodinium microadriaticum OX=2951 GN=RPS9B PE=3 SV=1",NA,NA
"tr|A0A1Q9C4W5|A0A1Q9C4W5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene41902 PE=4 SV=1",NA,NA
"tr|A0A1Q9C4X8|A0A1Q9C4X8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene41910 PE=4 SV=1",NA,NA
"tr|A0A1Q9C4Y1|A0A1Q9C4Y1_SYMMI","Uncharacterized protein F23F12.8 OS=Symbiodinium microadriaticum OX=2951 GN=F23F12.8 PE=4 SV=1",NA,NA
"tr|A0A1Q9C504|A0A1Q9C504_SYMMI","Protein MAM3 OS=Symbiodinium microadriaticum OX=2951 GN=MAM3 PE=4 SV=1",NA,NA
"tr|A0A1Q9C520|A0A1Q9C520_SYMMI","Fucoxanthin-chlorophyll a-c binding protein A, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=FCPA PE=4 SV=1",NA,NA
"tr|A0A1Q9C530|A0A1Q9C530_SYMMI","Ankyrin repeat and KH domain-containing protein 1 OS=Symbiodinium microadriaticum OX=2951 GN=ANKHD1 PE=4 SV=1",NA,NA
"tr|A0A1Q9C547|A0A1Q9C547_SYMMI","Malate dehydrogenase, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=MDH2 PE=4 SV=1",NA,NA
"tr|A0A1Q9C564|A0A1Q9C564_SYMMI","BTB/POZ and MATH domain-containing protein 2 OS=Symbiodinium microadriaticum OX=2951 GN=BPM2 PE=4 SV=1",NA,NA
"tr|A0A1Q9C594|A0A1Q9C594_SYMMI","Protein OSCP1 OS=Symbiodinium microadriaticum OX=2951 GN=Oscp1 PE=4 SV=1",NA,NA
"tr|A0A1Q9C5F4|A0A1Q9C5F4_SYMMI","D-3-phosphoglycerate dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=serA PE=3 SV=1",NA,NA
"tr|A0A1Q9C5G2|A0A1Q9C5G2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene41709 PE=4 SV=1",NA,NA
"tr|A0A1Q9C5K1|A0A1Q9C5K1_SYMMI","Protein xylosyltransferase OS=Symbiodinium microadriaticum OX=2951 GN=oxt PE=3 SV=1",NA,NA
"tr|A0A1Q9C5L0|A0A1Q9C5L0_SYMMI","Acetyl-CoA carboxylase OS=Symbiodinium microadriaticum OX=2951 GN=ACC1 PE=4 SV=1",NA,NA
"tr|A0A1Q9C5L5|A0A1Q9C5L5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene41635 PE=4 SV=1",NA,NA
"tr|A0A1Q9C5M9|A0A1Q9C5M9_SYMMI","Fucoxanthin-chlorophyll a-c binding protein A, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=FCPA PE=4 SV=1",NA,NA
"tr|A0A1Q9C5R6|A0A1Q9C5R6_SYMMI","6-phosphofructokinase 5, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=PFK5 PE=4 SV=1",NA,NA
"tr|A0A1Q9C5R7|A0A1Q9C5R7_SYMMI","Cytoplasmic dynein 1 heavy chain 1 OS=Symbiodinium microadriaticum OX=2951 GN=Dync1h1 PE=4 SV=1",NA,NA
"tr|A0A1Q9C5S7|A0A1Q9C5S7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene41561 PE=4 SV=1",NA,NA
"tr|A0A1Q9C625|A0A1Q9C625_SYMMI","Multidrug resistance protein 1A OS=Symbiodinium microadriaticum OX=2951 GN=Abcb1a PE=4 SV=1",NA,NA
"tr|A0A1Q9C650|A0A1Q9C650_SYMMI","Arylsulfatase B OS=Symbiodinium microadriaticum OX=2951 GN=ARSB PE=4 SV=1",NA,NA
"tr|A0A1Q9C6C4|A0A1Q9C6C4_SYMMI","Putative alcohol dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=yiaY PE=3 SV=1",NA,NA
"tr|A0A1Q9C6F4|A0A1Q9C6F4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene41296 PE=4 SV=1",NA,NA
"tr|A0A1Q9C6G9|A0A1Q9C6G9_SYMMI","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=ISPD PE=3 SV=1",NA,NA
"tr|A0A1Q9C6U7|A0A1Q9C6U7_SYMMI","Arylsulfatase B OS=Symbiodinium microadriaticum OX=2951 GN=Arsb PE=4 SV=1",NA,NA
"tr|A0A1Q9C6U9|A0A1Q9C6U9_SYMMI","Glucose-6-phosphate isomerase OS=Symbiodinium microadriaticum OX=2951 GN=PGIC1 PE=3 SV=1",NA,NA
"tr|A0A1Q9C6W3|A0A1Q9C6W3_SYMMI","Homoserine dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=AKHSDH1 PE=3 SV=1",NA,NA
"tr|A0A1Q9C749|A0A1Q9C749_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene41042 PE=4 SV=1",NA,NA
"tr|A0A1Q9C762|A0A1Q9C762_SYMMI","Transketolase OS=Symbiodinium microadriaticum OX=2951 GN=tkt PE=3 SV=1",NA,NA
"tr|A0A1Q9C7F7|A0A1Q9C7F7_SYMMI","Polyketide synthase PksN OS=Symbiodinium microadriaticum OX=2951 GN=pksN PE=4 SV=1",NA,NA
"tr|A0A1Q9C7F9|A0A1Q9C7F9_SYMMI","Protein kinase domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene40916 PE=4 SV=1",NA,NA
"tr|A0A1Q9C7H6|A0A1Q9C7H6_SYMMI","116 kDa U5 small nuclear ribonucleoprotein component OS=Symbiodinium microadriaticum OX=2951 GN=EFTUD2 PE=3 SV=1",NA,NA
"tr|A0A1Q9C7J4|A0A1Q9C7J4_SYMMI","Putative nucleoredoxin 1 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene40860 PE=4 SV=1",NA,NA
"tr|A0A1Q9C7J7|A0A1Q9C7J7_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene40887 PE=4 SV=1",NA,NA
"tr|A0A1Q9C7M1|A0A1Q9C7M1_SYMMI","Multifunctional fusion protein OS=Symbiodinium microadriaticum OX=2951 GN=SAHH PE=3 SV=1",NA,NA
"tr|A0A1Q9C7M4|A0A1Q9C7M4_SYMMI","Valyl-tRNA synthetase OS=Symbiodinium microadriaticum OX=2951 GN=Vars PE=4 SV=1",NA,NA
"tr|A0A1Q9C7Q3|A0A1Q9C7Q3_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene40871 PE=4 SV=1",NA,NA
