"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"XP_020627894.1"," ","LOC110065136",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000284.1",0.144943,"uncharacterized LOC110065136, transcript variant X2",39.11,2,22342,1011,1713,159,543,4
"XP_020607766.1"," ","LOC110046421",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001067.1",0.145192,"ABC transporter B family member 1-like",36.74,1,21813,2064,2603,171,197,14
"XP_020616795.1"," ","LOC110054782",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001452.1",0.151328,"uncharacterized LOC110054782, transcript variant X1",36.22,3,32798,3873,7078,423,2782,21
"XP_020628807.1"," ","LOC110065968",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000342.1",0.154865,"vegetative cell wall protein gp1-like",39.65,1,1266,270,663,9,384,2
"XP_020630609.1"," ","LOC110067605",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000408.1",0.161617,"uncharacterized LOC110067605",42.31,1,3380,2814,3380,232,334,1
"XP_020609617.1"," ","LOC110048177",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001156.1",0.162372,"integrator complex subunit 3-like",37.45,1,77338,2505,2505,NA,NA,20
"XP_020617380.1"," ","LOC110055339",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001501.1",0.163605,"uncharacterized LOC110055339",38.4,1,37708,1902,3406,NA,1504,12
"XP_020607343.1"," ","LOC110046023",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000095.1",0.165516,"WW domain-binding protein 2-like",36.31,1,7226,804,2682,54,1824,10
"XP_020604441.1"," ","LOC110043336",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000859.1",0.165888,"betaine--homocysteine S-methyltransferase 1-like, transcript variant X1",41.84,2,8704,1204,2100,290,606,9
"XP_020628421.1"," ","LOC110065608",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000322.1",0.166516,"leucine-rich repeat and guanylate kinase domain-containing protein-like",38.08,1,21430,2472,3080,99,509,21
"XP_020625534.1"," ","LOC110062931",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000193.1",0.185226,"WD repeat-containing protein 19-like",38.66,1,5193,246,281,35,NA,5
"XP_020630870.1"," ","LOC110067869",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000412.1",0.185742,"TNF receptor-associated factor 3-like",38.76,1,60647,1269,2919,825,NA,8
"XP_020622081.1"," ","LOC110059697",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001708.1",0.193256,"WD repeat-containing protein 59-like",39.15,1,43315,3228,4210,893,89,25
"XP_020617894.1"," ","LOC110055823",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000143.1",0.201745,"uncharacterized LOC110055823",40.46,1,4869,1800,3882,609,1473,2
"XP_020609655.1"," ","LOC110048212",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001168.1",0.202063,"splicing factor U2AF 26 kDa subunit-like, transcript variant X4",37.77,4,8329,766,1504,42,696,12
"XP_020608288.1"," ","LOC110046909",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001100.1",0.213331,"chymotrypsinogen B-like",40.74,1,3528,828,1550,436,286,4
"XP_020622348.1"," ","LOC110059967",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000702.1",0.213409,"conserved oligomeric Golgi complex subunit 8-like",38.27,1,9381,1857,2187,7,323,11
"XP_020627179.1"," ","LOC110064465",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000256.1",0.215213,"uncharacterized LOC110064465",39.85,1,14252,2418,3324,906,NA,5
"XP_020619870.1"," ","LOC110057615",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000156.1",0.218039,"acylglycerol kinase, mitochondrial-like, transcript variant X1",35.08,2,16559,1161,2130,162,806,14
"XP_020612246.1"," ","LOC110050669",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001298.1",0.219859,"uncharacterized LOC110050669",37.99,1,6995,1050,2413,124,1239,2
"XP_020601896.1"," ","LOC110040970",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000774.1",0.224818,"WASH complex subunit 3-like, transcript variant X2",36.25,2,15472,580,1200,93,527,8
"XP_020632537.1"," ","LOC110069365",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000475.1",0.226328,"uncharacterized LOC110069365",38.8,1,7465,1524,1825,50,202,8
"XP_020624216.1"," ","LOC110061707",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000703.1",0.274258,"polymerase delta-interacting protein 2-like",40.6,1,11835,984,1755,274,497,11
"XP_020617226.1"," ","LOC110055198",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001491.1",0.291397,"zinc finger CCCH domain-containing protein 15-like",38.01,1,9577,1467,2413,192,754,13
"XP_020612331.1"," ","LOC110050739",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001298.1",0.295228,"protein FAM166B-like",42.51,1,3103,903,1200,86,211,4
"XP_020617021.1"," ","LOC110054983",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001471.1",0.304418,"late histone H2B.L4-like",41.58,1,2376,384,2376,88,1904,1
"XP_020605612.1"," ","LOC110044410",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000935.1",0.310704,"hsp70-binding protein 1-like",36.05,1,8068,891,1522,NA,631,7
"XP_020626835.1"," ","LOC110064169",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000242.1",0.31369,"uncharacterized LOC110064169",37.71,1,1546,435,462,27,NA,3
"XP_020605641.1"," ","LOC110044433",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000935.1",0.319401,"uncharacterized LOC110044433",39.77,1,2062,519,2062,601,942,1
"XP_020616988.1"," ","LOC110054953",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001471.1",0.324808,"uncharacterized LOC110054953, transcript variant X1",42.54,2,6997,1326,2508,674,508,2
"XP_020614102.1"," ","LOC110052324",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000641.1",0.328578,"oxysterol-binding protein 1-like",38.97,1,93468,939,2094,NA,1155,11
"XP_020614486.1"," ","LOC110052678",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001350.1",0.333609,"uncharacterized skeletal organic matrix protein 5-like",37.74,1,2658,591,1302,86,452,4
"XP_020625187.1"," ","LOC110062599",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001908.1",0.3364,"transcription initiation factor TFIID subunit 11-like, transcript variant X2",41.18,2,4240,567,1045,71,814,4
"XP_020604991.1"," ","LOC110043833",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000084.1",0.343774,"ryncolin-1-like",37.99,1,14536,867,6104,4843,394,4
"XP_020616488.1"," ","LOC110054503",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001439.1",0.352369,"E3 ubiquitin-protein ligase RNF213-like",42.41,1,4773,1236,1721,242,NA,10
"XP_020610321.1"," ","LOC110048903",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000110.1",0.368773,"kinesin-like protein KIF13B",38.35,1,58276,6723,9208,289,2196,47
"XP_020601674.1"," ","LOC110040750",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000753.1",0.372873,"ras-related protein Rab-3A-like",38.7,1,2576,633,1424,36,755,2
"XP_020617722.1"," ","LOC110055677",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001514.1",0.376468,"low-density lipoprotein receptor-like",36.57,1,29116,4029,8691,1829,2833,26
"XP_020610128.1"," ","LOC110048692",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001191.1",0.387268,"uncharacterized LOC110048692",41.61,1,8014,3912,4499,196,NA,4
"XP_020609818.1"," ","LOC110048372",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001180.1",0.393254,"mothers against decapentaplegic homolog 5-like",38.56,1,7562,1317,4501,402,2782,4
"XP_020625347.1"," ","LOC110062739",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001912.1",0.400107,"uncharacterized LOC110062739",38.97,1,10669,801,1617,502,314,5
"XP_020611406.1"," ","LOC110049898",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000622.1",0.405925,"cholesterol 24-hydroxylase-like",39.65,1,3054,1227,2042,578,237,2
"XP_020602478.1"," ","LOC110041528",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000797.1",0.406743,"hemicentin-2-like",38.17,1,22144,2334,2489,NA,155,10
"XP_020618465.1"," ","LOC110056342",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001572.1",0.40752,"uncharacterized LOC110056342",38.58,1,4912,1515,3625,207,1903,2
"XP_020608759.1"," ","LOC110047357",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001117.1",0.412542,"glutathione peroxidase 1-like",36.8,1,2940,585,2378,90,1703,2
"XP_020625584.1"," ","LOC110062978",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000193.1",0.42314,"serine protease 27-like",40.92,1,4811,1113,1416,25,278,7
"XP_020608375.1"," ","LOC110047005",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001102.1",0.437293,"uncharacterized LOC110047005, transcript variant X2",39.83,2,25543,1167,1522,144,211,7
"XP_020627088.1"," ","LOC110064381",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000246.1",0.445144,"uncharacterized LOC110064381",38.99,1,34085,3723,4963,639,601,10
"XP_020609421.1"," ","LOC110048004",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001147.1",0.451035,"2-hydroxy-3-oxopropionate reductase-like",43.15,1,2841,1011,1448,NA,437,3
"XP_020612109.1"," ","LOC110050525",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001294.1",0.451662,"kinesin-like protein KIF17",39.8,1,8272,2070,3929,238,1384,4
"XP_020630939.1"," ","LOC110067931",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000413.1",0.451799,"beta-1,3-galactosyltransferase 5-like",39.85,1,3661,1041,1041,NA,NA,2
"XP_020603846.1"," ","LOC110042819",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000847.1",0.471302,"uncharacterized LOC110042819",40.97,1,21451,8451,9167,38,678,30
"XP_020610926.1"," ","LOC110049474",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001243.1",0.475444,"cyclic GMP-AMP synthase-like",42.29,1,2109,1077,2109,643,389,1
"XP_020605601.1"," ","LOC110044400",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000935.1",0.475574,"uncharacterized LOC110044400, transcript variant X2",37.8,2,15714,1244,3570,859,734,9
"XP_020612548.1"," ","LOC110050912",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001303.1",0.482261,"nucleoporin nsp1-like",38.81,1,35348,1599,1738,NA,139,13
"XP_020625761.1"," ","LOC110063148",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000198.1",0.490854,"uncharacterized LOC110063148",41.42,1,1505,825,983,158,NA,2
"XP_020611393.1"," ","LOC110049889",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001262.1",0.501319,"uncharacterized LOC110049889",41.68,1,7257,1986,4193,662,1545,4
"XP_020618806.1"," ","LOC110056632",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000153.1",0.506964,"protein furry homolog",40.67,1,49675,11805,12997,385,807,73
"XP_020622654.1"," ","LOC110060242",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001771.1",0.52678,"polyamine oxidase-like",40.29,1,5589,1497,3316,1338,481,3
"XP_020616579.1"," ","LOC110054576",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001441.1",0.52728,"uncharacterized LOC110054576",38.11,1,5764,693,1621,464,NA,5
"XP_020604764.1"," ","LOC110043628",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000865.1",0.529154,"O-acetyl-ADP-ribose deacetylase 1-like",38.8,1,5237,555,1394,44,795,5
"XP_020609053.1"," ","LOC110047639",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001126.1",0.543802,"fibroblast growth factor receptor 3-like",40.28,1,10612,1707,2450,256,487,6
"XP_020612154.1"," ","LOC110050567",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001294.1",0.574381,"uncharacterized LOC110050567",45.24,1,504,504,504,NA,NA,1
"XP_020605924.1"," ","LOC110044692",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000090.1",0.58387,"adenylosuccinate synthetase isozyme 2-like, transcript variant X2",35.6,2,16484,1218,2675,95,1362,16
"XP_020612350.1"," ","LOC110050748",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001298.1",0.589324,"breast cancer anti-estrogen resistance protein 3-like, transcript variant X1",41.53,3,7571,2691,3460,316,137,5
"XP_020613596.1"," ","LOC110051857",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000012.1",0.596448,"uncharacterized LOC110051857",42.26,1,3327,1491,2731,985,255,2
"XP_020605875.1"," ","LOC110044653",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000954.1",0.598162,"uncharacterized skeletal organic matrix protein 5-like",40.25,1,2599,618,1303,86,428,4
"XP_020608092.1"," ","LOC110046739",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001084.1",0.627701,"lethal(3)malignant brain tumor-like protein 3, transcript variant X2",39.27,6,23922,2892,4066,96,982,19
"XP_020626048.1"," ","LOC110063407",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000218.1",0.639161,"endonuclease 8-like 1, transcript variant X1",37.3,4,9055,1382,2292,798,113,11
"XP_020607986.1"," ","LOC110046633",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001081.1",0.645326,"potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2-like",40.69,1,2880,801,2880,413,1666,1
"XP_020621989.1"," ","LOC110059607",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001706.1",0.661388,"proteasomal ATPase-associated factor 1-like",39.91,1,13852,1149,1723,NA,574,10
"XP_020632532.1"," ","LOC110069357",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000725.1",0.669666,"glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like",37.47,1,3907,1086,3907,864,1957,1
"XP_020632757.1"," ","LOC110069574",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000044.1",0.675613,"uracil-DNA glycosylase-like",39.56,1,8561,948,2358,612,187,4
"XP_020605649.1"," ","LOC110044439",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000935.1",0.678146,"inter-alpha-trypsin inhibitor heavy chain H4-like",42.82,1,5131,2025,3558,560,973,2
"XP_020604353.1"," ","LOC110043250",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000009.1",0.685483,"fibropellin-1-like",38.2,1,8812,1908,2120,212,NA,15
"XP_020604575.1"," ","LOC110043470",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000860.1",0.688996,"FRAS1-related extracellular matrix protein 2-like",41.67,1,31524,9285,11869,1477,1107,17
"XP_020622787.1"," ","LOC110060361",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000167.1",0.703185,"HIV Tat-specific factor 1-like",37.79,1,8862,1137,2024,87,400,13
"XP_020617465.1"," ","LOC110055417",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001503.1",0.706714,"alpha-N-acetylgalactosamine-specific lectin-like",39.22,1,3014,582,582,NA,NA,2
"XP_020631632.1"," ","LOC110068578",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000432.1",0.730726,"uncharacterized LOC110068578",38.33,1,20435,1131,2651,1483,37,4
"XP_020600466.1"," ","LOC110039671",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000005.1",0.731437,"DNA replication licensing factor mcm2-like, transcript variant X1",39.34,2,18446,2530,3251,328,393,19
"XP_020620918.1"," ","LOC110058604",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001662.1",0.732741,"NACHT domain- and WD repeat-containing protein 1-like",41.61,1,4777,1338,1822,484,NA,7
"XP_020628333.1"," ","LOC110065523",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000314.1",0.743967,"uncharacterized LOC110065523, transcript variant X2",39.44,2,20946,1248,1738,190,299,12
"XP_020616925.1"," ","LOC110054895",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001463.1",0.776743,"uncharacterized LOC110054895, transcript variant X2",39.33,2,18964,1239,1946,332,333,14
"XP_020610835.1"," ","LOC110049384",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001241.1",0.778156,"prickle-like protein 3, transcript variant X2",41.21,2,11478,1890,2423,10,523,8
"XP_020632041.1"," ","LOC110068970",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000457.1",0.77874,"tripartite motif-containing protein 2-like",39.92,1,4744,2361,4744,1897,486,1
"XP_020619104.1"," ","LOC110056891",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000664.1",0.785579,"carbohydrate sulfotransferase 4-like, transcript variant X2",38.34,2,3678,1170,1336,74,19,2
"XP_020630329.1"," ","LOC110067351",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000394.1",0.789586,"piRNA biogenesis protein EXD1-like",43.65,1,2465,1107,2465,88,1270,1
"XP_020616724.1"," ","LOC110054708",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001448.1",0.789813,"uncharacterized LOC110054708",43.2,1,17787,4722,5348,521,105,4
"XP_020600427.1"," ","LOC110039640",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000005.1",0.791331,"trichohyalin-like, transcript variant X1",42.06,2,33968,8050,8798,303,444,37
"XP_020602146.1"," ","LOC110041204",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000778.1",0.800759,"uncharacterized LOC110041204",43.91,1,1371,1221,1371,129,21,1
"XP_020630782.1"," ","LOC110067790",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000411.1",0.803036,"integrin alpha-X-like",40.03,1,1515,432,856,424,NA,2
"XP_020619550.1"," ","LOC110057300",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000155.1",0.803965,"uncharacterized LOC110057300, transcript variant X1",38.85,2,10245,393,663,115,155,2
"XP_020621240.1"," ","LOC110058909",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000685.1",0.810045,"DNA-directed RNA polymerase II subunit GRINL1A-like",38.45,1,3511,528,914,198,188,2
"XP_020616864.1"," ","LOC110054847",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001463.1",0.821857,"uncharacterized LOC110054847",39.93,1,11028,909,1192,229,54,8
"XP_020607215.1"," ","LOC110045900",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001020.1",0.873393,"nesprin-1-like",41.8,1,76552,24675,28085,817,480,57
"XP_020606421.1"," ","LOC110045168",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000970.1",0.908074,"uncharacterized LOC110045168",43.08,1,1150,483,942,NA,459,3
"XP_020621804.1"," ","LOC110059453",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000162.1",0.919696,"uncharacterized LOC110059453",40.82,1,8749,1155,2155,58,942,2
"XP_020626117.1"," ","LOC110063474",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000218.1",0.932208,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase-like",39.89,1,1855,1377,1511,18,116,2
"XP_020622819.1"," ","LOC110060392",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000167.1",0.93604,"iron-sulfur cluster assembly enzyme ISCU, mitochondrial-like",34.24,1,1536,291,805,NA,514,4
"XP_020613239.1"," ","LOC110051543",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001326.1",0.97924,"TATA-binding protein-associated factor 172-like",38.94,1,34838,5784,6642,99,759,45
